"","Samples","class"
"1237","SRR5103532.A01.htseq","SI.TA.Cells"
"1706","NJA00109.G11.htseq","C.Stem"
"764","SRR5102736.A01.htseq","SI.Stem"
"29","GFPneg.SI1.Singlet.2.C10.htseq","SI.Early.Enterocyte"
"212","SRR5103580.A01.htseq","SI.Enterocyte.Progenitor"
"1707","GFPneg.C1.Singlet.4.B3.htseq","C.Stem"
"452","SRR5103682.A01.htseq","SI.Goblet"
"30","SRR5102501.A01.htseq","SI.Early.Enterocyte"
"213","SRR5102474.A01.htseq","SI.Enterocyte.Progenitor"
"1238","SRR5103214.A01.htseq","SI.TA.Cells"
"402","NJA00104.A09.htseq","SI.Enteroendocrine"
"453","SRR5102520.A01.htseq","SI.Goblet"
"1239","SRR5102984.A01.htseq","SI.TA.Cells"
"214","SRR5102375.A01.htseq","SI.Enterocyte.Progenitor"
"1240","SRR5103045.A01.htseq","SI.TA.Cells"
"1779","NJA00104.C03.htseq","SI.Tuft.Cells"
"765","SRR5102593.A01.htseq","SI.Stem"
"31","SRR5102632.A01.htseq","SI.Early.Enterocyte"
"215","SRR5102524.A01.htseq","SI.Enterocyte.Progenitor"
"454","SRR5102516.A01.htseq","SI.Goblet"
"455","SRR5102819.A01.htseq","SI.Goblet"
"766","SRR5103065.A01.htseq","SI.Stem"
"1241","SRR5102690.A01.htseq","SI.TA.Cells"
"1242","SRR5102390.A01.htseq","SI.TA.Cells"
"767","SRR5103449.A01.htseq","SI.Stem"
"1780","SRR5103266.A01.htseq","SI.Tuft.Cells"
"577","SRR5103837.A01.htseq","SI.Late.Enterocyte"
"456","SRR5103783.A01.htseq","SI.Goblet"
"216","SRR5103242.A01.htseq","SI.Enterocyte.Progenitor"
"768","NJA00104.F04.htseq","SI.Stem"
"1243","GFPneg.SI1.Singlet.2.F4.htseq","SI.TA.Cells"
"769","SRR5102794.A01.htseq","SI.Stem"
"1244","SRR5103071.A01.htseq","SI.TA.Cells"
"1663","NJA00109.C04.htseq","C.Goblet"
"770","SRR5102670.A01.htseq","SI.Stem"
